session,scenario,arranque,n_robots,t_conv_frac_s,t_conv_all_s,converged_frac,final_compaction_d,final_rms_d,rw_s,dead_s,meet_s,log_s,occupancy_pct,obstacle_area_d,passage_d
SinObs_ASop,SinObs,ASop,4,9.5,9.5,1,4.89,2.44,46.5,0.0,70.5,182.0,,,
SinObs_APar,SinObs,APar,4,,0.2,0,6.69,3.34,51.0,19.8,34.2,112.0,,,
SinObs_ALin,SinObs,ALin,4,31.8,31.8,1,6.76,3.38,32.0,41.2,33.8,127.0,,,
BosqueD_D2_ASop,BosqueD_D2,ASop,4,13.2,13.2,1,6.74,3.37,16.8,0.0,30.2,121.0,,,
BosqueD_D2_APar,BosqueD_D2,APar,4,38.0,38.0,1,9.34,4.67,74.0,0.0,86.0,191.0,,,
BosqueD_D2_ALin,BosqueD_D2,ALin,4,24.0,24.0,1,6.76,3.38,34.0,42.0,38.0,214.0,,,
BosqueD_D4_ASop,BosqueD_D4,ASop,4,,0.9,0,11.9,5.95,35.0,9.1,253.9,347.0,,,
BosqueD_D4_APar,BosqueD_D4,APar,4,24.2,24.2,1,6.64,3.32,31.0,32.8,107.2,184.0,,,
BosqueD_D4_ALin,BosqueD_D4,ALin,4,23.4,23.4,1,7.97,3.98,52.0,21.6,46.4,136.0,,,
BosqueG_D2_ASop,BosqueG_D2,ASop,4,52.1,52.1,1,10.7,5.35,41.0,31.9,72.1,174.0,,,
BosqueG_D2_APar,BosqueG_D2,APar,4,65.1,65.1,1,6.48,3.24,15.0,34.9,198.1,338.0,,,
BosqueG_D2_ALin,BosqueG_D2,ALin,4,,,0,13.16,6.58,35.0,32.7,35.3,124.0,,,
BosqueG_D4_ASop,BosqueG_D4,ASop,4,58.7,58.7,1,8.39,4.2,42.0,15.3,62.7,150.0,,,
BosqueG_D4_APar,BosqueG_D4,APar,4,,,0,11.52,5.76,33.0,46.2,182.8,295.0,,,
BosqueG_D4_ALin,BosqueG_D4,ALin,4,31.4,31.4,1,8.02,4.01,37.0,16.6,67.4,142.0,,,
